"","x"
"1","ABE (Allentown/Bethlehem/Easton, PA)"
"2","ABI (Abilene, TX)"
"3","ABQ (Albuquerque, NM)"
"4","ABR (Aberdeen, SD)"
"5","ABY (Albany, GA)"
"6","ACK (Nantucket, MA)"
"7","ACT (Waco, TX)"
"8","ACV (Arcata/Eureka, CA)"
"9","ACY (Atlantic City, NJ)"
"10","ADK (Adak Island, AK)"
"11","ADQ (Kodiak, AK)"
"12","AEX (Alexandria, LA)"
"13","AGS (Augusta, GA)"
"14","AKN (King Salmon, AK)"
"15","ALB (Albany, NY)"
"16","ALO (Waterloo, IA)"
"17","AMA (Amarillo, TX)"
"18","ANC (Anchorage, AK)"
"19","APN (Alpena, MI)"
"20","ASE (Aspen, CO)"
"21","ATL (Atlanta, GA)"
"22","ATW (Appleton, WI)"
"23","AUS (Austin, TX)"
"24","AVL (Asheville, NC)"
"25","AVP (Scranton/Wilkes-Barre, PA)"
"26","AZO (Kalamazoo, MI)"
"27","BDL (Hartford, CT)"
"28","BET (Bethel, AK)"
"29","BFF (Scottsbluff, NE)"
"30","BFL (Bakersfield, CA)"
"31","BGM (Binghamton, NY)"
"32","BGR (Bangor, ME)"
"33","BHM (Birmingham, AL)"
"34","BIL (Billings, MT)"
"35","BIS (Bismarck/Mandan, ND)"
"36","BJI (Bemidji, MN)"
"37","BKG (Branson, MO)"
"38","BLI (Bellingham, WA)"
"39","BMI (Bloomington/Normal, IL)"
"40","BNA (Nashville, TN)"
"41","BOI (Boise, ID)"
"42","BOS (Boston, MA)"
"43","BPT (Beaumont/Port Arthur, TX)"
"44","BQK (Brunswick, GA)"
"45","BQN (Aguadilla, PR)"
"46","BRD (Brainerd, MN)"
"47","BRO (Brownsville, TX)"
"48","BRW (Barrow, AK)"
"49","BTM (Butte, MT)"
"50","BTR (Baton Rouge, LA)"
"51","BTV (Burlington, VT)"
"52","BUF (Buffalo, NY)"
"53","BUR (Burbank, CA)"
"54","BWI (Baltimore, MD)"
"55","BZN (Bozeman, MT)"
"56","CAE (Columbia, SC)"
"57","CAK (Akron, OH)"
"58","CDC (Cedar City, UT)"
"59","CDV (Cordova, AK)"
"60","CEC (Crescent City, CA)"
"61","CHA (Chattanooga, TN)"
"62","CHO (Charlottesville, VA)"
"63","CHS (Charleston, SC)"
"64","CIC (Chico, CA)"
"65","CID (Cedar Rapids/Iowa City, IA)"
"66","CIU (Sault Ste. Marie, MI)"
"67","CLD (Carlsbad, CA)"
"68","CLE (Cleveland, OH)"
"69","CLL (College Station/Bryan, TX)"
"70","CLT (Charlotte, NC)"
"71","CMH (Columbus, OH)"
"72","CMI (Champaign/Urbana, IL)"
"73","CMX (Hancock/Houghton, MI)"
"74","CNY (Moab, UT)"
"75","COD (Cody, WY)"
"76","COS (Colorado Springs, CO)"
"77","COU (Columbia, MO)"
"78","CPR (Casper, WY)"
"79","CRP (Corpus Christi, TX)"
"80","CRW (Charleston/Dunbar, WV)"
"81","CSG (Columbus, GA)"
"82","CVG (Cincinnati, OH)"
"83","CWA (Mosinee, WI)"
"84","DAB (Daytona Beach, FL)"
"85","DAL (Dallas, TX)"
"86","DAY (Dayton, OH)"
"87","DBQ (Dubuque, IA)"
"88","DCA (Washington, DC)"
"89","DEN (Denver, CO)"
"90","DFW (Dallas/Fort Worth, TX)"
"91","DHN (Dothan, AL)"
"92","DIK (Dickinson, ND)"
"93","DLG (Dillingham, AK)"
"94","DLH (Duluth, MN)"
"95","DRO (Durango, CO)"
"96","DSM (Des Moines, IA)"
"97","DTW (Detroit, MI)"
"98","DVL (Devils Lake, ND)"
"99","EAU (Eau Claire, WI)"
"100","ECP (Panama City, FL)"
"101","EFD (Houston, TX)"
"102","EGE (Eagle, CO)"
"103","EKO (Elko, NV)"
"104","ELM (Elmira/Corning, NY)"
"105","ELP (El Paso, TX)"
"106","ENV (Wendover, UT)"
"107","ERI (Erie, PA)"
"108","ESC (Escanaba, MI)"
"109","EUG (Eugene, OR)"
"110","EVV (Evansville, IN)"
"111","EWN (New Bern/Morehead/Beaufort, NC)"
"112","EWR (Newark, NJ)"
"113","EYW (Key West, FL)"
"114","FAI (Fairbanks, AK)"
"115","FAR (Fargo, ND)"
"116","FAT (Fresno, CA)"
"117","FAY (Fayetteville, NC)"
"118","FCA (Kalispell, MT)"
"119","FLG (Flagstaff, AZ)"
"120","FLL (Fort Lauderdale, FL)"
"121","FNT (Flint, MI)"
"122","FOE (Topeka, KS)"
"123","FSD (Sioux Falls, SD)"
"124","FSM (Fort Smith, AR)"
"125","FWA (Fort Wayne, IN)"
"126","GCC (Gillette, WY)"
"127","GCK (Garden City, KS)"
"128","GEG (Spokane, WA)"
"129","GFK (Grand Forks, ND)"
"130","GGG (Longview, TX)"
"131","GJT (Grand Junction, CO)"
"132","GNV (Gainesville, FL)"
"133","GPT (Gulfport/Biloxi, MS)"
"134","GRB (Green Bay, WI)"
"135","GRI (Grand Island, NE)"
"136","GRK (Killeen, TX)"
"137","GRR (Grand Rapids, MI)"
"138","GSO (Greensboro/High Point, NC)"
"139","GSP (Greer, SC)"
"140","GST (Gustavus, AK)"
"141","GTF (Great Falls, MT)"
"142","GTR (Columbus, MS)"
"143","GUC (Gunnison, CO)"
"144","GUM (Guam, TT)"
"145","HDN (Hayden, CO)"
"146","HIB (Hibbing, MN)"
"147","HLN (Helena, MT)"
"148","HNL (Honolulu, HI)"
"149","HOB (Hobbs, NM)"
"150","HOU (Houston, TX)"
"151","HPN (White Plains, NY)"
"152","HRL (Harlingen/San Benito, TX)"
"153","HSV (Huntsville, AL)"
"154","HYA (Hyannis, MA)"
"155","HYS (Hays, KS)"
"156","IAD (Washington, DC)"
"157","IAG (Niagara Falls, NY)"
"158","IAH (Houston, TX)"
"159","ICT (Wichita, KS)"
"160","IDA (Idaho Falls, ID)"
"161","IFP (Bullhead City, AZ)"
"162","ILG (Wilmington, DE)"
"163","ILM (Wilmington, NC)"
"164","IMT (Iron Mountain/Kingsfd, MI)"
"165","IND (Indianapolis, IN)"
"166","INL (International Falls, MN)"
"167","ISN (Williston, ND)"
"168","ISP (Islip, NY)"
"169","ITH (Ithaca/Cortland, NY)"
"170","ITO (Hilo, HI)"
"171","JAC (Jackson, WY)"
"172","JAN (Jackson/Vicksburg, MS)"
"173","JAX (Jacksonville, FL)"
"174","JFK (New York, NY)"
"175","JLN (Joplin, MO)"
"176","JMS (Jamestown, ND)"
"177","JNU (Juneau, AK)"
"178","KOA (Kona, HI)"
"179","KTN (Ketchikan, AK)"
"180","LAN (Lansing, MI)"
"181","LAR (Laramie, WY)"
"182","LAS (Las Vegas, NV)"
"183","LAW (Lawton/Fort Sill, OK)"
"184","LAX (Los Angeles, CA)"
"185","LBB (Lubbock, TX)"
"186","LBE (Latrobe, PA)"
"187","LCH (Lake Charles, LA)"
"188","LEX (Lexington, KY)"
"189","LFT (Lafayette, LA)"
"190","LGA (New York, NY)"
"191","LGB (Long Beach, CA)"
"192","LIH (Lihue, HI)"
"193","LIT (Little Rock, AR)"
"194","LNK (Lincoln, NE)"
"195","LRD (Laredo, TX)"
"196","LSE (La Crosse, WI)"
"197","LWS (Lewiston, ID)"
"198","MAF (Midland/Odessa, TX)"
"199","MBS (Saginaw/Bay City/Midland, MI)"
"200","MCI (Kansas City, MO)"
"201","MCN (Macon, GA)"
"202","MCO (Orlando, FL)"
"203","MDT (Harrisburg, PA)"
"204","MDW (Chicago, IL)"
"205","MEI (Meridian, MS)"
"206","MEM (Memphis, TN)"
"207","MFE (Mission/McAllen/Edinburg, TX)"
"208","MFR (Medford, OR)"
"209","MGM (Montgomery, AL)"
"210","MHK (Manhattan/Ft. Riley, KS)"
"211","MHT (Manchester, NH)"
"212","MIA (Miami, FL)"
"213","MKE (Milwaukee, WI)"
"214","MKG (Muskegon, MI)"
"215","MLB (Melbourne, FL)"
"216","MLI (Moline, IL)"
"217","MLU (Monroe, LA)"
"218","MMH (Mammoth Lakes, CA)"
"219","MOB (Mobile, AL)"
"220","MOT (Minot, ND)"
"221","MQT (Marquette, MI)"
"222","MRY (Monterey, CA)"
"223","MSN (Madison, WI)"
"224","MSO (Missoula, MT)"
"225","MSP (Minneapolis, MN)"
"226","MSY (New Orleans, LA)"
"227","MTJ (Montrose/Delta, CO)"
"228","MVY (Martha's Vineyard, MA)"
"229","MYR (Myrtle Beach, SC)"
"230","OAJ (Jacksonville/Camp Lejeune, NC)"
"231","OAK (Oakland, CA)"
"232","OGG (Kahului, HI)"
"233","OKC (Oklahoma City, OK)"
"234","OMA (Omaha, NE)"
"235","OME (Nome, AK)"
"236","ONT (Ontario, CA)"
"237","ORD (Chicago, IL)"
"238","ORF (Norfolk, VA)"
"239","ORH (Worcester, MA)"
"240","OTH (North Bend/Coos Bay, OR)"
"241","OTZ (Kotzebue, AK)"
"242","PAH (Paducah, KY)"
"243","PBG (Plattsburgh, NY)"
"244","PBI (West Palm Beach/Palm Beach, FL)"
"245","PDX (Portland, OR)"
"246","PGD (Punta Gorda, FL)"
"247","PHF (Newport News/Williamsburg, VA)"
"248","PHL (Philadelphia, PA)"
"249","PHX (Phoenix, AZ)"
"250","PIA (Peoria, IL)"
"251","PIB (Hattiesburg/Laurel, MS)"
"252","PIH (Pocatello, ID)"
"253","PIT (Pittsburgh, PA)"
"254","PLN (Pellston, MI)"
"255","PNS (Pensacola, FL)"
"256","PPG (Pago Pago, TT)"
"257","PSC (Pasco/Kennewick/Richland, WA)"
"258","PSE (Ponce, PR)"
"259","PSG (Petersburg, AK)"
"260","PSP (Palm Springs, CA)"
"261","PUB (Pueblo, CO)"
"262","PVD (Providence, RI)"
"263","PWM (Portland, ME)"
"264","RAP (Rapid City, SD)"
"265","RDD (Redding, CA)"
"266","RDM (Bend/Redmond, OR)"
"267","RDU (Raleigh/Durham, NC)"
"268","RHI (Rhinelander, WI)"
"269","RIC (Richmond, VA)"
"270","RKS (Rock Springs, WY)"
"271","RNO (Reno, NV)"
"272","ROA (Roanoke, VA)"
"273","ROC (Rochester, NY)"
"274","ROW (Roswell, NM)"
"275","RST (Rochester, MN)"
"276","RSW (Fort Myers, FL)"
"277","SAF (Santa Fe, NM)"
"278","SAN (San Diego, CA)"
"279","SAT (San Antonio, TX)"
"280","SAV (Savannah, GA)"
"281","SBA (Santa Barbara, CA)"
"282","SBN (South Bend, IN)"
"283","SBP (San Luis Obispo, CA)"
"284","SCC (Deadhorse, AK)"
"285","SCE (State College, PA)"
"286","SDF (Louisville, KY)"
"287","SEA (Seattle, WA)"
"288","SFO (San Francisco, CA)"
"289","SGF (Springfield, MO)"
"290","SGU (St. George, UT)"
"291","SHV (Shreveport, LA)"
"292","SIT (Sitka, AK)"
"293","SJC (San Jose, CA)"
"294","SJT (San Angelo, TX)"
"295","SJU (San Juan, PR)"
"296","SLC (Salt Lake City, UT)"
"297","SMF (Sacramento, CA)"
"298","SMX (Santa Maria, CA)"
"299","SNA (Santa Ana, CA)"
"300","SPI (Springfield, IL)"
"301","SPN (Saipan, TT)"
"302","SPS (Wichita Falls, TX)"
"303","SRQ (Sarasota/Bradenton, FL)"
"304","STC (St. Cloud, MN)"
"305","STL (St. Louis, MO)"
"306","STS (Santa Rosa, CA)"
"307","STT (Charlotte Amalie, VI)"
"308","STX (Christiansted, VI)"
"309","SUN (Sun Valley/Hailey/Ketchum, ID)"
"310","SUX (Sioux City, IA)"
"311","SWF (Newburgh/Poughkeepsie, NY)"
"312","SYR (Syracuse, NY)"
"313","TKI (Tokeen, AK)"
"314","TLH (Tallahassee, FL)"
"315","TOL (Toledo, OH)"
"316","TPA (Tampa, FL)"
"317","TRI (Bristol/Johnson City/Kingsport, TN)"
"318","TTN (Trenton, NJ)"
"319","TUL (Tulsa, OK)"
"320","TUS (Tucson, AZ)"
"321","TVC (Traverse City, MI)"
"322","TWF (Twin Falls, ID)"
"323","TXK (Texarkana, AR)"
"324","TYR (Tyler, TX)"
"325","TYS (Knoxville, TN)"
"326","UST (St. Augustine, FL)"
"327","VEL (Vernal, UT)"
"328","VLD (Valdosta, GA)"
"329","VPS (Valparaiso, FL)"
"330","WRG (Wrangell, AK)"
"331","WYS (West Yellowstone, MT)"
"332","XNA (Fayetteville, AR)"
"333","YAK (Yakutat, AK)"
"334","YUM (Yuma, AZ)"
